[2024-07-30 23:41:30,973: INFO: main: Bilal ahmed]
[2024-07-31 01:05:12,383: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:05:12,391: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:05:12,398: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:05:12,400: INFO: common: created directory at: artifacts]
[2024-07-31 01:05:12,401: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:06:24,674: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:06:24,676: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:06:24,703: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:06:24,704: INFO: common: created directory at: artifacts]
[2024-07-31 01:06:24,705: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:14:36,285: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:14:36,292: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:14:36,294: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:14:36,295: INFO: common: created directory at: artifacts]
[2024-07-31 01:14:36,296: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:14:55,823: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:14:55,825: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:14:55,827: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:14:55,828: INFO: common: created directory at: artifacts]
[2024-07-31 01:14:55,829: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:17:43,292: INFO: 1824145776: [Errno 2] No such file or directory: 'config\\config.yaml']
[2024-07-31 01:23:37,800: INFO: 3070093516: Config file path: C:\Users\ba415\OneDrive\Desktop\config\config.yaml]
[2024-07-31 01:23:37,801: INFO: 3070093516: Params file path: C:\Users\ba415\OneDrive\Desktop\params.yaml]
[2024-07-31 01:23:37,803: INFO: 3070093516: Schema file path: C:\Users\ba415\OneDrive\Desktop\schema.yaml]
[2024-07-31 01:29:15,497: INFO: 4145759634: Using config file at: config\config.yaml]
[2024-07-31 01:29:15,497: INFO: 4145759634: Using params file at: params.yaml]
[2024-07-31 01:29:15,499: INFO: 4145759634: Using schema file at: schema.yaml]
[2024-07-31 01:29:15,501: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:29:15,504: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:29:15,506: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:29:15,507: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:29:15,508: ERROR: 624994: "'unzip_dir'"]
[2024-07-31 01:29:31,221: INFO: 4121569879: Using config file at: config\config.yaml]
[2024-07-31 01:29:31,222: INFO: 4121569879: Using params file at: params.yaml]
[2024-07-31 01:29:31,223: INFO: 4121569879: Using schema file at: schema.yaml]
[2024-07-31 01:29:31,226: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:29:31,228: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:29:31,229: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:29:31,230: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-31 01:29:31,231: ERROR: 624994: "'unzip_dir'"]
[2024-07-31 01:30:19,840: INFO: 3905118053: Using config file at: config\config.yaml]
[2024-07-31 01:30:19,841: INFO: 3905118053: Using params file at: params.yaml]
[2024-07-31 01:30:19,842: INFO: 3905118053: Using schema file at: schema.yaml]
[2024-07-31 01:30:19,844: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:30:19,845: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:30:19,847: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:30:19,848: ERROR: 624994: "'root_data'"]
[2024-07-31 01:31:27,211: INFO: 533763632: Using config file at: config\config.yaml]
[2024-07-31 01:31:27,212: INFO: 533763632: Using params file at: params.yaml]
[2024-07-31 01:31:27,213: INFO: 533763632: Using schema file at: schema.yaml]
[2024-07-31 01:31:27,216: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-31 01:31:27,218: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-31 01:31:27,220: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-07-31 01:31:27,221: ERROR: 624994: "'root_data'"]
[2024-07-31 01:32:17,568: INFO: 3990572406: Using config file at: config\config.yaml]
[2024-07-31 01:32:17,569: INFO: 3990572406: Using params file at: params.yaml]
[2024-07-31 01:32:17,571: INFO: 3990572406: Using schema file at: schema.yaml]
