Address,Price,Bathrooms,Bedrooms,Area,Property Type
"Bahria Town - Sector F, Lahore",1.6 Crore,0,0,400 sqft,commercial
"Bahria Enclave, Sector A, Islamabad",11.1 Crore,10+,6,4 marla,commercial
"Bahria Town - Sector E , Lahore",1.95 Crore,4,4,5 marla,residential
"DHA Phase 2, Islamabad",9.75 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",65 Lac,1,1,395 sqft,residential
"Bahria Town Phase 8, Rawalpindi",1.7 Crore,0,0,515 sqft,commercial
"Bahria Town - Sector D, Lahore",4.9 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Block Umer, Rawalpindi",2.9 Crore,4,5,7 marla,residential
"Adyala Road, Rawalpindi",38 Lac,0,0,72 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",2.04 Crore,0,1,730 sqft,commercial
"Bahria Town, Islamabad",1.1 Crore,0,0,438 sqft,commercial
"Bahria Town - Sector B, Lahore",1.96 Crore,4,4,5 marla,residential
"DHA Phase 2, Islamabad",5.89 Crore,0,0,693 sqft,commercial
"Qartaba Chowk, Lahore",55 Lac,2,2,3.5 marla,residential
"DHA Phase 2, Lahore",7.3 Crore,5,5,1 kanal,residential
"Bahria Town Phase 4, Islamabad",65 Lac,1,1,514 sqft,residential
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.6 Crore,5,6,10 marla,residential
"PIA Main Boulevard, Lahore",6.5 Crore,0,0,6 marla,commercial
"Faisal Margalla City, Islamabad",49 Lac,0,0,164 sqft,commercial
"DHA Homes, Islamabad",78 Lac,2,2,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.62 Crore,0,0,510 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",4 Crore,0,0,1280 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",15.5 Crore,5,5,25 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",95 Lac,0,0,410 sqft,commercial
"Soan Garden, Block H, Islamabad",40 Lac,0,0,180 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.15 Crore,3,3,5 marla,residential
"DHA Phase 2, Islamabad",11 Crore,5,5,1 kanal,residential
"DHA Phase 2, Islamabad",6 Crore,5,5,10 marla,residential
"DHA Phase 2, Islamabad",6.5 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.75 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",3.6 Crore,4,5,8 marla,residential
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"Bahria Enclave, Islamabad",2.5 Crore,3,3,5 marla,residential
"Jubilee Town, Lahore",2.2 Crore,4,4,5 marla,residential
"DHA Phase 3, Islamabad",2.3 Crore,3,4,5 marla,residential
"CBR Town, Islamabad",3.6 Crore,6,6,7 marla,residential
"DHA Phase 3, Islamabad",4.7 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",45 Lac,0,0,80 sqft,commercial
"DHA Phase 8, Lahore",3.17 Crore,4,5,5 marla,residential
"DHA Phase 1, Sector F, Rawalpindi",4.25 Crore,0,0,1800 sqft,commercial
"Bahria Town Phase 4, Islamabad",78 Lac,0,0,200 sqft,commercial
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.7 Crore,5,6,10 marla,residential
"Adyala Road, Rawalpindi",70 Lac,0,0,138 sqft,commercial
"DHA Phase 1, Lahore",12 Crore,0,0,4 marla,commercial
"DHA Phase 6, Lahore",10 Lac,0,0,450 sqft,commercial
"DHA Phase 2, Islamabad",5.85 Crore,0,0,693 sqft,commercial
"DHA Phase 2, Islamabad",1.19 Crore,0,0,222 sqft,commercial
"DHA Phase 5, Lahore",16.25 Crore,0,0,4 marla,commercial
"Bahria Town - Sector E , Lahore",1.7 Crore,0,0,390 sqft,commercial
"Bahria Town Phase 4, Islamabad",5.5 Crore,5,6,10 marla,residential
"DHA Phase 6, Lahore",12.85 Crore,4,4,1 kanal,residential
"Chakri Road, Rawalpindi",6.75 Crore,0,0,6 marla,commercial
"G-13/2, Islamabad",9.25 Crore,7,8,10 marla,residential
"Bahria Town Phase 8, Block Rafi, Rawalpindi",4 Crore,4,5,8 marla,residential
"Band Road, Lahore",20 Crore,10+,10+,5 kanal,commercial
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.4 Crore,4,5,8 marla,residential
"DHA Phase 8, Lahore",23.95 Crore,6,7,2 kanal,residential
"LDA Avenue Phase 1, Lahore",3.9 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.85 Crore,5,5,7 marla,residential
"DHA Phase 2, Islamabad",10.5 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",2.2 Crore,3,3,5 marla,residential
"DHA Phase 2, Lahore",7.5 Crore,4,5,1 kanal,residential
"Bahria Town Phase 8, Sector J, Rawalpindi",3.8 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",9.5 Crore,0,0,1986 sqft,commercial
"Sanda Road, Lahore",70 Lac,0,0,0.5 marla,commercial
"Bahria Town Phase 8, Rawalpindi",2.15 Crore,3,3,5 marla,residential
"Adyala Road, Rawalpindi",52 Lac,0,0,117 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",4.1 Crore,0,0,1280 sqft,commercial
"Samanabad, Lahore",16.1 Crore,10+,9,23 marla,commercial
"DHA Homes, Islamabad",1.64 Crore,3,3,8 marla,residential
"Bahria Enclave, Sector B1, Islamabad",2.85 Crore,3,3,5 marla,residential
"Jubilee Town, Lahore",2.3 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.5 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.68 Crore,0,0,510 sqft,commercial
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"G-9, Islamabad",9 Crore,4,4,360 sqyd,commercial
"DHA Homes, Islamabad",1.75 Crore,3,3,8 marla,residential
"Bahria Town Phase 7, Rawalpindi",4.7 Crore,5,6,10 marla,residential
"Gulberg 3, Lahore",40 Lac,1,1,133 sqft,commercial
"Bahria Town - Sector D, Lahore",4.95 Crore,4,5,10 marla,residential
"Bahria Town - Sector D, Lahore",1.85 Crore,3,4,5 marla,residential
"DHA Phase 6, Lahore",20 Lac,0,0,4 marla,commercial
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.1 Crore,5,5,7 marla,residential
"Jubilee Town, Lahore",80 Lac,2,2,600 sqft,residential
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",1.05 Crore,0,0,480 sqft,commercial
"DHA Phase 2, Islamabad",9.5 Crore,5,5,1 kanal,residential
"DHA Phase 7, Lahore",3.1 Crore,4,5,5 marla,residential
"DHA Town Phase 9, Lahore",5.97 Crore,5,6,10 marla,residential
"Bahria Town - Sector B, Lahore",1.95 Crore,3,4,5 marla,residential
"Bani Gala, Islamabad",3.5 Crore,5,5,10 marla,residential
"Jubilee Town, Lahore",60 Lac,2,2,700 sqft,residential
"DHA Homes, Islamabad",1.73 Crore,3,3,8 marla,residential
"Bahria Town Phase 8, Rawalpindi",95 Lac,0,0,410 sqft,commercial
"Askari 11, Lahore",2.9 Crore,3,3,2250 sqft,residential
